dataset,tool,precision,recall
stingseq,alphagenome,0.30584192439862545,0.6793893129770993
stingseq,alphagenome,0.30344827586206896,0.6717557251908397
stingseq,alphagenome,0.30103806228373703,0.6641221374045801
stingseq,alphagenome,0.2986111111111111,0.6564885496183206
stingseq,alphagenome,0.29965156794425085,0.6564885496183206
stingseq,alphagenome,0.3006993006993007,0.6564885496183206
stingseq,alphagenome,0.3017543859649123,0.6564885496183206
stingseq,alphagenome,0.3028169014084507,0.6564885496183206
stingseq,alphagenome,0.303886925795053,0.6564885496183206
stingseq,alphagenome,0.3049645390070922,0.6564885496183206
stingseq,alphagenome,0.302491103202847,0.648854961832061
stingseq,alphagenome,0.30357142857142855,0.648854961832061
stingseq,alphagenome,0.3046594982078853,0.648854961832061
stingseq,alphagenome,0.302158273381295,0.6412213740458015
stingseq,alphagenome,0.30324909747292417,0.6412213740458015
stingseq,alphagenome,0.30434782608695654,0.6412213740458015
stingseq,alphagenome,0.3054545454545455,0.6412213740458015
stingseq,alphagenome,0.30656934306569344,0.6412213740458015
stingseq,alphagenome,0.3076923076923077,0.6412213740458015
stingseq,alphagenome,0.3088235294117647,0.6412213740458015
stingseq,alphagenome,0.30996309963099633,0.6412213740458015
stingseq,alphagenome,0.3111111111111111,0.6412213740458015
stingseq,alphagenome,0.31226765799256506,0.6412213740458015
stingseq,alphagenome,0.31343283582089554,0.6412213740458015
stingseq,alphagenome,0.3146067415730337,0.6412213740458015
stingseq,alphagenome,0.31203007518796994,0.6335877862595419
stingseq,alphagenome,0.3132075471698113,0.6335877862595419
stingseq,alphagenome,0.3143939393939394,0.6335877862595419
stingseq,alphagenome,0.3155893536121673,0.6335877862595419
stingseq,alphagenome,0.31679389312977096,0.6335877862595419
stingseq,alphagenome,0.31800766283524906,0.6335877862595419
stingseq,alphagenome,0.3192307692307692,0.6335877862595419
stingseq,alphagenome,0.3204633204633205,0.6335877862595419
stingseq,alphagenome,0.32170542635658916,0.6335877862595419
stingseq,alphagenome,0.3229571984435798,0.6335877862595419
stingseq,alphagenome,0.3203125,0.6259541984732825
